"Latin","Français"
"quo accidissent minus","et lui les supporter d'autant plus péni-"
merito populi Romani :,"qu'ils étaient arrivés moins [lement,"
"qui si fuisset","par le mérite (la faute) du peuple romain:"
"conscientus sibi","lequel s'il eût été"
"conscius sibi","ayant-conscience en lui-même"
"aliquius injuria,","de quelque injure faite aux Helvètiens,"
"non fuisse difficile","ne pas avoir été difficile"
"cavere;","de se-tenir-en-garde ;"
,
,
,
"sed deceptum eo,",mais le peuple romain avoir été trompé par
"quod neque intelligeret","qu'il ne savait pas"
"commissum a se","quelque chose avoir été commis par lui"
"quare timeret,",qui il dût craindre
"neque putaret timendum","et il ne pensait pas devoir être craint "
"sine causa.","sans motif."
"Quod si vellet oblivisci","Que s'il voulait oublier"
"veteris contumelie,","l'ancien outrage,"
"num etiam posse","est-ce que aussi lui pouvait"
"deponere memoriam","déposer (perdre) la mémoire"
"injuriarum recentium,","des injures récentes,"
"quod eo invito","à savoir que lui ne-voulant pas"
"tentassent iter per vim","ils avaient essayé de faire route par force"
"per provinciam,","à travers la province,"
"quod vexassent Ednos,","qu'ils avaient maltraité les Éduens,"
"quod Ambarrros,","qu'ils avaient maltraité les Ambarres,"
"quod Allobrogas?","qu'ils avaient maltraité les Allobroges?"
"Quod gloriarentur","Quant à ce qu'ils se glorifiaient"
"tam insolenter","si insolemment"
"sua victoria,","de leur victoire,"
"quodque admirarentur","et qu'ils s'étonnaient"
"se tulisse tam diu","eux (les Romains) avoir supporté si long-"
"injurias impune,","leurs injures sans-vengeance,"
"pertinere eodem","[temps cela tendre au-mê-me-but (avoir le même"
"deos enim immortales","en effet les dieux immortels"
"consuesse,",[résultat]
quo homines,"avoir-coutume,"
"quo homines","afin que les hommes"
"quos velint ulcisci","qu'ils veulent punir"
"pro scelere eorum","selon le crime d'eux"
"doleant gravius","soient affligés plus lourdement"
"ex commutatione","par-suíte-d'un changement"
"rerum,","de choses (de fortune),"
"concedere his interdum","d'accorder à ceux-ci de-temps-en-temps"
"res secundiores","des événements plus favorables"
"et impunitatem","et une impunité"
"diuturniorem.","plus longue."
"Quum ea sint ita,","Quand ces choses étaient ainsi,"
"tamen, si obides","cependant, si des otages"
"dentur sibi ab iis,","étaient donnés à lui par eux,"
"uti intelligat facturos","pour qu'il comprît eux devoir faire"
"ea quae polliceantur,","ces choses qu'ils promettaient,"
"et si satisfaciant Eduis","et s'ils donnaient-satisfaction aux Éduens"
"de injuriis","touchant les injures"
"quas intulerint","qu'ils avaient apportées (faites)"
"ipsis sociisque eorum,","à eux-mêmes et aux alliés d'eux,"
"si item","si de même ils donnaient satisfaction"
"Allobrogibus,","aux Allobroges,"
"sese facturum esse pacem","lui-même devoir faire la paix"
"cum iis. »","avec eux. »"
"Divico respondit:","Divicon répondit :"
"« Helvetios","« Les Helvètiens"
"institutos esse ita","avoir été formés ainsi"
"a suis majoribus, ucti consuerint accipere obsides, non dare;","par leurs ancêtres, qu'ils eussent-contume de recevoir des otages, et non d'en donner;"
"populum Romanum esse testem ejus rei.","le peuple romain être témoin de ce fait."
"XV. Hoc responsio dato, discessit.","XV. Cette réponse ayant été donnée, il se retira."
"Die postera movent castra ex eo loco :","Le jour suivant ils mettent-en-mouvement leur camp hors de ce lieu :"
"Cæsar facit idem, premititque omnem equitatum quem habebat coactum ex omni provincia, et Æduis","César fait la même chose, et il envoie-en-avant toute la cavalerie qu'il avait rassemblée de toute la province et de chez les Éduens et les alliés d'eux,"
"atque sociis eorum, ad numerum quattor millium, qui videant in quas partes hostes faciant iter.","et les alliés d'eux, au nombre de quatre milliers d'hommes, qui verraient (pour voir) de quels côtés les ennemis faisaient route."
"Qui, insecuti cupidius novissimum agmen, novissimum agmen, committunt proelium cum equitatu Helvetiorum loco alieno :","Qui, insecuti cupidius novissimum agmen, novissimum agmen, committunt proelium cum equitatu Helvetiorum loco alieno :"
"cum equitatu Helvetiorum loco alieno : et panci de nostris cadunt.","et panci de nostris cadunt."
"Quo prœlio sublati, quod quingentis equitibus propulerant tantam multitudinem equitum, Helvetii coeperunt subsistere audacius, nonnunquam laessere nostros prœlio ex novissimo agmine.","Par lequel combat enflés, parce que avec cinq-cents cavaliers ils avaient repoussé une si-grande multitude de cavaliers, les Helvètiens commencèrent à s'arrêter plus audacieusement, que l'on ne pouvait"
"Cæsar continbat suos a prœlio, ac habebat satis in præsentia prohibere hostem rapinis, pabulationibus populationibusque.","à harceler les nôtres par un combat en détachant des soldats du dernier corps. César retenait les siens loin du combat, et avait assez (so contentait) dans le présent d'écarter l'ennemi des rapines, des pâturages et des ravages."
"Fecerunt iter circiter quindecim dies","Ils firent route environ quinze jours"
uti interesset,"de telle sorte, qu'il y-ent-de-l'intervalle"
"non amplius quinis","pas plus que cinq"
"aut senis millibus passuum","ou six milliers de pas"
"inter novissimum agmen","entre le dernier corps"
"hostium","des ennemis"
"et nostrum primum.","et notre premier corps."
"XVI. Interim Cæsar","XVI. Cependant César"
"flagitare quotidie Ednos","de demander chaque-jour aux Ednens"
"frumentum","le blé"
"quod polliciti erant","qu'ils avaient promis"
"publice :","publiquement (au nom de la cité entière) :"
"nam propter frigora,","car à cause des froids,"
"quod Gallia,","parce que la Gaule,"
"ut dictum est ante,","comme il a été dit auparavant,"
"est posita","est située"
"sub septentrionibus,","sous le septentrion,"
"non modo frumentain agris","non seulement les blés dans les champs"
"non erant matura,","n'étaient pas mûrs,"
"sed ne copia quidem pabuli","mais pas même une quantité de fourrage"
"satis magna","assez grande"
"suppetebat ;","ne s'offrait ;"
"poterat autem minus","or il pouvait moins (ne pouvait pas)"
"uti eo frumento,",user de ce blé
"quod subvexerat navibus","qu'il avait transporté sur des vaisseaux"
"flumine Arari,","sur la rivière de la Saône,"
"propterea quod Helvetii,","parce que les Helvètiens,"
"a quibus","desquels"
"nolebat discedere,","il ne-voulait-pas s'éloigner,"
"averterant iter ab Arari.","avait détourné leur route de la Saône."
"Edni","Les Ednens"
"ducere diem ex die;","de trainer-en-longueur jour après jour ;"
"dicere conferri,",de dire le blé être apporté par les particu-
"comportari, adesse.","être réuni, arriver."
"Ubi intellexit","Dès que César ent compris"
"se duci diutius,","lui-même être trainé trop longtemps,"
"et diem instare,","et le jour approcher,"
"quo die oporteret","dans lequel jour il faudrait"
"metiri frumentum","mesurer le blé"
"militibus,","aux soldats,"
"principibus eorum","les principaux d'eux"
"convocatis,","ayant été convoqués,"
,
"quorum habebat","desquels il avait"
"magnam copiam","un grand nombre"
"in castris,","dans le camp,"
"in his Divitico et Lisco,","et parmi ceux-ci Divitiacus et Liscus,"
"qui praerat","qui présidait"
"(quem Ædai)","magistrat que les Éduens"
"appellant vergobretum,","appellent vergobret,"
"qui creatur annuus","qui est créé pour-un-an"
"et habet in suos","et a sur les siens"
"potestatem vitæ necisque),","pouvoir de vie et de mort),"
"accusat eos graviter,","il accuse eux fortement,"
"quod non sublevetur","de ce qu'il n'était pas aidé"
"ab iis,","par eux,"
"quum posset neque emi,","quand du ble ne pouvait ni être acheté,"
"neque sumi ex agris,","ni être tiré des champs,"
"tempore tam necessario,","dans un temps si nécessaire (décisif),"
"hostibus tam propinquis;","les ennemis étant si proches;"
"præsertim quum","surtout lorsque"
"adductus ex magna parte","amené (déterminé) en grande partie"
"precibus eorum","par les prières d'eux"
"susceperit bellum,","il a entrepris la guerre,"
"queritur","il se plaint"
"multo grauis etiam","beaucoup plus"
"quod destitutus sit.","fortement encore"
"XVII. Tum domum","qu'il ait été abandonné."
"Liscus,",XVII. Alors enfin
"adductus oratione Cæsaris,","Liscus,"
proponit,"amené (décidé) par le discours de César,"
"quod tacuerat anteâ :","expose"
"« Nonnullos esse,",ce qu'il avait tu auparavant :
quorum auctoritas,"« Quelques hommes être,"
"valeat plurimum","dont l'autorité"
"apud plebem;","avait-crédit beaucoup"
"qui privati","auprès du peuple;"
"possint plus","qui quaique simples particuliers"
"quam magistratus ipsi.","pouvaient plus"
"Hos oratione seditiosa","que les magistrats eux-mêmes."
"atque improba","Ceux-ci par un langage séditieux"
"deterrere multitudinem,",et coupable
"deterrere multitudinem,","détourner la multitude,"
"ne conferant frumentum","pour qu'ils n'apportent pas le blé"
"quod debeant præstare.","qu'ils devaient fournir."
"Si jam non possint","Si désormais ils ne pouvaient pas"
"obtinere principatum","occuper le premier-rang"
"Galliæ,","de la Gaule,"
"esse satius","être préférable"
"perferre imperia Gallorum","de supporter la domination de Gaulois"
"perferre imperia Gallorum","de supporter la domination de Gaulois"
"quam Romarum,","quam Romarum,"
"neque dubitare quin,","neque dubitare quin,"
"si Romani","si Romains"
"superaverint Helvetios,","avaient vaincu les Helvètiens,"
"erepturi sint libertatem","ils ne dussent ravir la liberté"
"Æduis","aux Éduens"
"una cum reliqua Gallia.","en-mème-temps avec le reste (qu'au reste)"
"Nostra consilia,",Nos desséins
"quaeque gerantur","et les choses qui se faisaient"
"in castris,","dans le camp,"
"enuntiari hostibus","être dénoncés aux ennemis"
"ab iisdem :","par ces-mêmes hommes :"
"hos non posse coerceri","ces hommes ne pouvoir être réprimés"
"a se;","par lui (Liscus);"
"quinetiam,","bien plus,"
"quod coactus necessario","en ce que force nécessairement (par la"
"enuntiarit rem Cæsari,","il avait dénoncé le fait à Cæsar,"
"sese intelligere","lui-même comprendre"
"cum quanto periculo","avec quel-grand danger"
"fecerit id,","il avait fait cela,"
"et ob eam causam","et pour ce motif"
"tacuisse quandiu potuerit.","s'être tu tant qu'il avait pu."
"XVIII. Cesar sentiebat","XVII. Cesar sentait"
"Dumnorigem,","Dumnorix,"
"fratrem Divitiaci,","frère de Divitiacus,"
"designari","être désigné"
"hac oratione Lisci;","par ce discours de Lisci;"
"sed, quod nolebat","mais, parce qu'il ne-voulait-pas"
"eas res jactari","ces faits être mis-en-avant"
"pluribus presentibus,","plusieurs étant-présents,"
"dimittit celeriter","il congédie promptement"
"concilium,","le conseil,"
"retinet Liscum;","retient Liscus;"
"quærit ex solo ea,",il fait-des-questions à lui seul sur ce:
"quæ dixerat in conventu.","qu'il avait dites daus l'assemblée."
"Dicit liberius","Il (Liscus) parle plus librement"
"atque audacius.","et plus hardiment."
"Quærit eadem ab aliis","Il demande ces-mêmes choses à d'autres"
"secreto;","secrètement;"
"reperit esse vera.","il reconnaît les faits être vrais."
"« Dumnorigem ipsum,","« Dumnorix lui-même,"
"audacia summa,","d'une audace suprême,"
"magna gratia apud plebem","d'un grand crédit auprès du peuple"
"propter liberalitatem,","à-cause-de sa libéralité,"
"esse cupidum","être désireux"
"rerum novarum;","d'un état-de-choses nouveau;"
"habere complures annos","avoir depuis plusieurs années"
"portoria","les péages"
"omniaque reliqua vectigalia","et tous les autres revenus"
"des Eduess","des Eduess"
"rachetés (affermes) à petit (bas) prix,","rachetés (affermes) à petit (bas) prix,"
"parce que,","parce que,"
"illo licente,","lui encherissant,"
"nemo audeat liceri contra.","personne n'osait encherir en-opposition"
"His rebus et auxisse","Par ces moyens lui et avoir accru"
"suam rem familiarrem,","son bien de-famille,"
"et comparasse","et avoir amassé"
"magnas facultates","de grandes ressources"
"ad largiendum;","pour faire-des-largesses;"
"semper alere suo sumptu","toujours nourrir à ses frais"
"et habere circums se","et avoir autour de lui"
"magnum numerum","un grand nombre"
"equitatus;","de cavalerie (cavaliers)"
"neque solum","et non-seulement"
"posse largiter","pouvoir (avoir du crédit) grandement"
"domi,","à la maison (dans son pays),"
"sed etiam","mais encore"
"apud civitates finitimas;","auprès des cités voisines;"
"atque causa hujus potentia","et dans l'intérêt de ce pouvoir"
"collocasse matrem","avoir établi (marie) sa mère"
"in Biturigibus","chez les Bituriges"
"homini nobilissimo","à un homme très-noble"
"ac potentissimo illip;","et très-puissant là;"
"ipsum habere uxorem","lui-même avoir une épouse"
"ex Helvetiis;","de chez les Helvètiens;"
"collocasse nuptum","avoir établi pour se marier"
"in alias civitates","dans d'autres cités"
"sororem ex matre","so secur de mère"
"et suas propinquas","et ses parentes;"
"favere et cupere","être-favorable et faire-des-souhaits"
"Helvetiis","pour les Helvètiens"
"propter eum affinitatem;","à-cause-de cette alliance;"
"odisse etiam suo nomine","haïr aur aussi en son nom (personnellement)"
"Cæsarem et Romanos,","César et les Romains,"
"quod adventu eorum","parce que par l'arrivée d'eux"
"potentia ejus diminuta sit","la puissance de lui avait été diminuée"
"et Divitiacus son frère","et Divitiacus son frère"
"restitutus","rétabli"
"in antiquum locum","dans son antique place (rang)"
"gratiæ atque honoris.","de crédit et d'honneur."
"Si quid accidat Romanis,","Si quelque chose arrivait aux Romains,"
"venire in summam spem","lui venir au plus haut espoir"
"obtinendi regni","d'occuper la royauté"
"per Helvetios;","à-l'aide-des Helvètiens;"
"imperio populi Romani","sous l'empire du peuple romain"
"desperare","lui désespérer"
"non modo de regno,","non-seulement de la royauté,"
"sed etiam de ea gratia,","mais même de ce crédit,"
"quam habeat. »","qu'il possédait. »"
"Cæsar reperiebat etiam","César découvrait aussi"
"in quærendo, quod proclium equestre adversum factum esset","en interrogant, en ce qu'un combat de-cavalerie avait été fait (livré)"
"paucis diēbus ante, initium ejus fuga factum a Dumnorige atque equitibus ejus (nam Dumnorix præerat equitatu)","pen-de jours auparavant, le commencement de cette fuite avoir été fait par Dumnorix et les cavaliers de lui (car Dumnorix commandait la cavalerie)"
"auxilio Cæsari); reliquum equitatum perterritum esse fuga eorum.","que les Éduens avaient envoyée au secours à César); le reste-de la cavalerie avoir été épouvanté par la fuite d'eux."
"XIX. Quibus rebus cognitis, quum res certissimæ arcederent ad has suspiciones, quod transduxisset Helvetios per fines Sequanorum, quod curasset obsides dandos inter eos, quod fecisset omnium ea non modo injussu suo et civitatis, sed etiam ipsis inscientibus, quod accusaretur a magistratu Æduorum, arbitrabatur satis causæ esse quare aut ipse animadverteret in eum, aut juberet civitatem animadvertere.","XIX. Lesquels faits étant connus, comme des faits très-certain-s'ajoutaient à ces soupcons, savoir qu'il avait fait-passer les Helvétiens à travers le territoire des Séquanieus, qu'il avait pris-soin d'otages devant être donnés entre eux, qu'il avait fait toutes ces choses non-seulement sans-l'ordre de-lui (César) et de la cité, mais même eux-mêmes (César et la cité) ne-le-sachant-pas, qu'il était accusé par le magistrat des Éduens, il (César) pensait assez de motif (un motif suffisant) être pour que ou lui-même il sevit contre lui, ou il ordonnât la cité sévir."
"Unum repugnabit omnibus his rebus, quod cognoverat studium summum Divitiaci fratri in populum Romanum, voluntatem summam in se, fidem egregiam, justitiam, temperantiam : sa justice, sa modération :","Une seule chose combattait tous ces motifs, qu'il connaissait le dévouement très-haut de Divitiacus frère de Dumnorix envers le peuple romain, sa bienveillance très-haute envers lui-"
"fide, bonne-foi distinguée, justitiam, temperantiam : sa justice, sa modération :","fide, bonne-foi distinguée, justitiam, temperantiam : sa justice, sa modération :"
"nam verebatur","car il craignait"
"ne supplicio ejus","que par le supplice de lui"
"offenderet","il n'offensât"
"animam Divitiaci.","le cœur de Divitiacus."
"Itaque,","En-conséquence,"
"priusquam conaretur","avant qu'il n'entreprit"
"quidquam,","quoi-que-ce-fût,"
"jubet Divitiacum","il ordonne Divitiacus"
"vocari ad se,","être appelé vers lui,"
"et, interpretibus quotidie-","et, les interprètes de-chaque-jour"
"remotis,","ayant été écartés,"
"colloquitur cum eo","il s'entretient avec lui"
"per C. Valerium Procillum,",par-l'intermédiaire-de C. Valérins Pro-
"principem","le premier"
"provinciæ Galliæ,","de la province de Gaule,"
"suum familiarem,","son familier,"
"cui habebat fidem suam","en qui il avait la confiance la plus haute"
"omnium rerum;","de (en) toutes choses;"
"simul commonefacit","en-même-temps il lui rappeille"
"quæ dicta sint","quelles choses avaient été dites"
"de Dumnorige,","de Dumnorige,"
"ipso præsente,","lui-même (Divitiacus) étant présent,"
"in concilio Gallorum,","dans le conseil des Gaulois,"
"et ostendit quæ quisque","et lui découvre quelles choses chacun"
"dixerit separatim apud se","avait dites séparément auprès de lui"
"de eo:","sur lui (Dumnorix):"
"petit atque hortatur","il lui demande et l'exhorte"
"ut, sine offensione","que, sans offense"
"animi ejus,","du cœur de lui (Divitiacus),"
"vel ipse","ou lui-même (César)"
"statuat de eo,","puisse statuer sur lui (Dumnorix),"
"causa cognita,","la cause étant instruite,"
"vel jnbeat","ou puisse ordonner"
"civitatem statuere.","la cité statuer."
"XX. Divitiacus,","XX. Divitiacus,"
"complexus Cæsarem,","ayant embrassé César,"
"cepit obsecrare","se mit à le supplier"
"cum lacrymis multis","avec des larmes abondantes"
"« Ne statueret quid gravius","« Qu'il ne décidât pas quelque chose"
"in fratrem; »","trop sévèrement"
"In fratrem","contre son frère;"
"se scire","lui-même (Divitiacus) savoir"
"illa esse vera,","ces choses qu'on avait dites être vraies,"
"nec quemquam capere ex eo","et qui-que-ce-soit ne pas concevoir de cela"
"plus doloris quam se,","plus de douleur que lui-même,"
"propterea quod,","parce que,"
"quam ipse posset plurimum","quum ipse possetplurimum"
"comme lui-même était-puissant","comme lui-même était-puissant"
"tres-","tres-"
"gratia","par son crédit"
"domi","dans sa patrie"
"atque in reliqua Gallia,","et dans le reste de la Gaule,"
ille posset minimum,"et que celui-là (Dumnorix) pouvait très-à-cause-de sa jeunesse,"
"propter adolescentiam,","à-cause-de sa jeunesse,"
"crevisset per se","il avait grandi à-l'aide-de lui-même"
quibus opibus ac nervis,"desquelles ressources et desquels nerfs,"
"intereat non solum","il usait non-seulement"
"ad minuendam gratiam,","pour diminuer le crédit de Divitiacus,"
"sed pœne","mais presque"
"ad perniciem suam :","pour la perte de-lui (Divitiacus) :"
"sese tamen coinmoveri","lui-même cependant être touché"
"amore fraterno","par l'amour fraternel"
"et existimatione vulgi.","et par l'opinion du vulgaire."
"Quod si quid","Que si quelque chose"
"accidisset ei gravius","était arrivée à lui (Dumnorix)"
"a Cæsare,","de-la-part-de César,"
"quum ipse","tandis que lui-même (Divitiacus)"
"teneret in locum amicitiae","occupait ce rang d'amitié"
"apud eum,","auprès de lui (César),"
"neminem existimaturum","personne ne devoir estimer"
"non factum","cela n'avoir pas été fait"
"voluntate sua :","de la volonté de-lui (Divitiacus) :"
"ex qua re futurum","de laquelle chose devoir être (il résulterait)"
"uti animi totius Galliæ","que les cours de toute la Gaule"
"averterentur a se.","se détourneraient de lui."
"Quum fiens","Comme en pleurant"
"peteret hæc a Cæsare","il demandait ces choses à César"
"pluribus verbis,","en plus-de paroles,"
"Cæsar","César"
"prenait dextram ejus;","prend la main droite de lui ;"
"consolatus","l'ayant consolé"
"rogat faciat finem","il le prie qu'il fasse fin (qu'il cesse)"
"orandi;","de plaider ;"
"ostendit gratiam ejus","il montre le crédit de lui"
"esse tanti apud se,",être d'un si-grand prix auprès de lui-
"uti condonet","qu'il fasse-remise"
"voluntati ac precibus ejus","à la volonté et aux prières de lui"
"et injuriam republicæ","et de l'injure de la république"
"et suum dolorem.","et de son propre ressentiment."
"Vocat ad se Dumnorigem;","Il appelle vers lui Dumnorigem;"
"adhibet fratrem;","il fait-assister son frère ;"
"ostendit","il lui montre"
"quæ reprehendat in eo;","ce qu'il reprend en lui ;"
"proponit","il lui expose"
"quæ ipse intelligat,","ce que lui-même voit (saït ,"
"quæ civitas queratur;","ce dont la cité se plaint ;"
"monet","l'avenir"
"ut in religinum tempus","que pour le reste-du temps"
"vitet omnes suspiciones;","il évite tous les soupçons;"
"dicit se condonare preterita","il dit lui-même faire-remise du passé"
"Divitiaco fratri.","à Divitiacus son frère."
"Ponit custodes","Il établit des surveillants"
"Dumnorigi,","à Dumnorix,"
"ut possit scire","afin qu'il puisse savoir"
"quæ agat,","quelles choses il fait,"
"quibuscum loquatur.","avec quelles gens il s'entretient."
"XXI. Eodem die","XXI. Le même jour"
"factus certior","fait mieux-informé (instruit)"
"ab exploratoribus","par ses éclaireurs"
"hostes consedisse","les ennemis s'étant établis"
"sub monte","au-pied-d'une montagne"
"octo millia passuum","à huit milliers de pas"
"a castris ipsius,","du camp de lui-même,"
"misit qui cognoscerent","il envoyait des gens qui devaient reconnaître"
"qualis esset natura montis","quelle était la nature de la montagne"
"et qualis ascensus","et quelle était la montée"
"in circuitu.","dans le tour."
"Renuntiatum est","Il lui fut rapporté"
"esse facilem.","la montée être facile."
"De tertia vigilia,","A la troisième veille,"
"jubet T. Labienum,","il ordonne T. Labienus,"
"legatum pro pretore,","lieutenant propriétaire,"
"ascendere jugum summum","gravir le sommet le plus haut"
"montis","de la montagne"
"cum duabus legionibus","avec deux légions"
"et iis ducibus,","et ces (les) guides,"
"qui cognoverant iter;","qui avaient reconnu la route;"
"ostendit","il lui découvre"
"quid sit sui consilii.","quelle chose est de (dans) son déssein."
"Ipse de quarta vigilia","Lui-même à la quatrième veille"
"eodem itinere,","par la même route,"
"quo hostes ierant,","par laquelle les ennemis avaient marché,"
"contendit ad eos,","se dirige vers eux,"
"mittique ante se","et envole devant lui-même"
"omnem equitatum.","toute la cavalerie."
"P. Considius,","P. Considius,"
"qui hahebatur peritissimus","qui était tenu pour très-expérimenté"
"rei militaris,","dans l'art militaire,"
"et fuerat","et avait été (avait servi)"
"in exercitu L. Sullæ,","dans l'armée de L. Sylla,"
"et postea in M. Crassi,","et après-cela dans celle de M. Crassus,"
"præmittitur","est envoyé-avant"
"cum exploratoribus.","avec des éclaireurs."
"**XXII. Prima luce, quum summus mons tenetur a T. Labieno, ipse abesset, a castris hostium non longius mille et quingentis passibus, neque adventus aut ipsius ant Labieno cognitus esset, ut comperit postea ex captivis, Considius accurrit ad eum equo admisso; dicit collem quem voluerit occupari a Labieno teneri ab hostibus; se cognovisse id ab armis atque insidibus Gallicis. César subducit suas copias in collem proximum, instruit aciem.**","**XXII. A la première lueur du jour, comme le sommet-de la montagne était occupé par T. Labienus, que lui-même (César) était éloigné du camp des ennemis non plus loin que mille et cinq-cents pas, et que l'arrivée ou de lui-même ou de lui-même était Labienus n'était pas connue, comme il l'apprit ensuite des captifs, Considius accourt vers lui avec son cheval lancé; il lui dit la colline qu'il avait voulu être occupée par Labienus être possédée par les ennemis; lui-même (Considius) avoir reconnu cela à des armes et des enseignes gauloises. César retire ses troupes sur la colline la plus proche, et range son ordre-de-bataille.**"
"sequitur hostes","il suit les ennemis"
"intervallo quo consuerat, et ponit castra","à la distance à laquelle il avait-coutume, et place son camp"
"tria millia passuum a castris corum:","à trois milliers de pas du camp d'eux."
a castris corum:,
"XXIII. Postridie ejus diei, quod biduum omnino supererat,","XXIII. Le lendemain de ce jour, parce que deux-jours en tout restaitient,"
"quum oporteret metiri frumentum exercitu, ac quod aberat","jusqu'au moment où il faudrait mesurer le blé à l'armée, et parce qu'il était-éloigné"
"de Bibracte,","de Bibracte,"
oppido longo maximo et copiosissimo,"ville de loin (beaucoup) la plus grande et la plus riche des Éduens,"
"non amplius decem et octo millibus passuum,","pas plus que de dix et huit milliers de pas,"
"existimavit prospiciendum","il estima qu'il fallait pourvoir"
"rei frumentarize,","à la provision de-blé,"
"avertit iter ab Helvetiis","détourné sa route des Helvètiens"
"ac contendit ire Bibracte.","etse-mit-en-marche pour aller àBibracte."
"Ea res nuntiatar hostibus per fugitivos L. Emili,","Ce fait est annoncé aux ennemis par des déserteurs de L. Emilius,"
"decurionis","décurion"
"equitum Gallorum.","des cavaliers gaulois."
"Helvetii,","Les Helvètiens,"
"seu quod existimarent","soit qu'ils pensassent"
"Romanos perterritos timore","les Romains frappés de crainte"
"discedere a se,","s'éloigner d'eux,"
"eo magis quod pridie,","d'autant plus que la veille,"
"locis superioribus occupatis,",des lieux plus élevés
"occupatis,","ayant été occupés,"
"non commovissent","ils n'avaient pas mis-en-branle"
"proclium,","le combat,"
"sive eo quod confiderent","soit parce qu'ils avaient-confiance"
"posse intercludi","les Romains pouvoirs être coupés"
"re frumentaria,","de la provision de-blé,"
"consilio commutato","leur dessin ayant été changé"
"atque itinere converso,","et leur route retournée,"
"cooperunt insequi","commencerent à poursuivre"
"ac lacessere nostros","et à harceler nos soldats"
"a novissimo agmine.","du dernier corps."
"XXIV. Post quam","XXIV. Après que"
"advertit animum id,",il eut tourné son esprit vers (ent remar...
"Cæsar subducit suas copias","César retire ses troupes"
"in collem proximum,","sur la colline la plus proche,"
"misitque equitatum,","et il envoya la cavalerie,"
"qui sustineret","qui devait (pour) soutenir"
"impetum hostium.","le choc des ennemis."
"Ipse interim","Lui-même cependant"
"instruxit in medio colle","rangea au milieu-de la colline"
"triplicem aciem","une triple ligne"
"quatuor legionum","de quatre légions"
"veteranorum,","de vétérans,"
"ita uti collocaret","de-telle-sorte qu'il placât"
"supra se","au-dessus de lui-même"
"in jugo summo","sur le sommet le plus haut"
"dnas legiones,","les deux légions,"
"quas conscripserat proxime","qu'il avait enrôlées dernièrement"
"in Gallia citeriore,","dans la Gaule citeriore,"
"et omnia auxilia :","et toutes les troupes-auxiliaires :"
"ao jussit totum montem","et il ordonna toute la montagne"
"compleri hominibus,","être remplie d'hommes,"
"et interea sarcinas","et pendant-ce-temps les bagages"
"conferri in unum locum,","être réunis dans un seul endroit,"
"et eum muniri","et cet endroit être retranché"
"ab his qui constiterant","par ceux qui avaient-pris-place"
"in acie superiore.","dans la ligne-de-bataille la plus élevée."
"Helvetii, secuti","Les Helvètiens, ayant suivi les Romains"
"cum omnibus suis carris,","avec tous leurs chariots,"
"contulerunt impedimenta","réunirent leurs bagages"
"in unum locum;","dans un seul endroit;"
"ipsi, nostro equitatu","eux-mêmes, notre cavalerie"
"rejecto","ayant été repoussée par eux"
"acie confertissima,","en ligne très-serrée,"
"phalange facta,","la phalange étant formée,"
"successerunt sub","s'avancèrent sous (près de)"
"nostram primam aciem.","notre première ligne."
"XXV. César,","XXV. César,"
"suo primum,","son cheval d'abord,"
"deinde equis omnium","puis les chevaux de tous"
"remotis ex conventu,","ayant été éloignés de la vue,"
"ut periculo omnium æquato","afin que le péril de tous étant rendu-égal"
"tolleret spem fugæ,","il ôtât l'espoir de la fuite,"
"cohortatus suos,","ayant exhorté les siens,"
"commisit proelium.","engagea le combat."
"Milites, pilis missis","Les soldats, des javelots étant lancés"
"e loco superiore,","d'un lieu plus élevé,"
"perfregerunt facile","rompirent facilement"
"phalangem hostium.","la phalange des ennemis."
"Ea disjecta,","Celle-ci ayant été dispersée,"
"gladis destrictis","les épées étant tirées"
"ficerunt impetum in eos.","ils firent irruption sur eux."
"Erat magno impedimento","Ceci était a grand embarras"
"Gallis ad pugnam,","aux Gaulois pour le combat,"
quod pluribus scutis eorum transfixis et colligatis,"que, plusieurs boucliers d'eux ayant été percés et attachés-ensemble"
"uno ietu pilorum,","par un seul coup des javelots,"
"quum ferrum se inflexisset,","après que le fer s'était courbé,"
"poterat neque evellere,","ils ne pouvaient ni l'arracher,"
"neque, sinistra impedita,","ni, leur main gauche étant embarrassée,"
"pugnare satis commode;","combattre assez aisément ;"
"ut multi,","tellement que beaucoup,"
"brachio jactato diu,","leur bras ayant été agité longtemps,"
"præoptarent","préférant"
"emittere scutum manu","l'acher le bouclier de leur main"
"et pugnare corpore nudo.","et combattre avec un corps nu."
"Tandem defessi vulneribus,","Enfin épuisés de blessures,"
"cœperunt","ils commencèrent"
"referre pedem,","à porter-en-arrière le pied (à reculer),"
"et, quod mons suberat","et, comme une montagne était-proche"
"circiter inille passuum,","environ à un millier de pas,"
"se recipere eo.","à se retirer là."
"Monte capto","La montagne ayant été prise (occupée)"
"at nostris succedentibus,","et les nôtres les suivant,"
"Boii et Tulingi,","les Boiens et les Tulinges,"
"qui claudebant","qui fermaient"
"agmen hostium","la marche des ennemis"
"circiter quindecim millibus","environ avec quinze milliers"
"hominum","d'hommes"
"et erant præsidio","et étaient à appui"
"novissimis,","aux derniers,"
"aggressi nostros","ayant attaqué les nôtres"
"latere aperto","sur leur flanc découvert"
"ex itinere,","pendant la marche,"
"circumvenere ;","les entourèrent ;"
"et Helvetii,","et les Helvètiens,"
